
IN frame=95002 t=54.9575 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c000201080000000000
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c000101470000000000
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c000101470000000000
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=39 payload=7c0003018b00ff140000007396d3af10000000004073b3000000000040fcb80000000084558ac5
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
IN frame=95054 t=54.9741 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=95175 t=55.0151 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
IN frame=95319 t=55.0861 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=95319 t=55.0861 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
IN frame=95913 t=55.3821 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
OUT frame=96169 t=55.5089 cmd=0x06 dp=0x12 len=0 payload=
IN frame=96175 t=55.5111 cmd=0x86 dp=0x21 len=12 payload=421830208423b30547343434
OUT frame=96179 t=55.5119 cmd=0x04 dp=0x12 len=4 payload=00000000
OUT frame=96179 t=55.5119 cmd=0x05 dp=0x12 len=4 payload=00000000
OUT frame=96179 t=55.5119 cmd=0x02 dp=0x12 len=1 payload=00
OUT frame=96179 t=55.5119 cmd=0x09 dp=0x12 len=0 payload=
IN frame=96183 t=55.5251 cmd=0x84 dp=0x21 len=4 payload=01010801
IN frame=96183 t=55.5251 cmd=0x85 dp=0x21 len=4 payload=01021503
IN frame=96183 t=55.5251 cmd=0x82 dp=0x21 len=1 payload=02
IN frame=96185 t=55.5361 cmd=0x89 dp=0x21 len=2 payload=010b
OUT frame=96189 t=55.5367 cmd=0x07 dp=0x12 len=1 payload=01
OUT frame=96189 t=55.5367 cmd=0x08 dp=0x12 len=1 payload=01
OUT frame=96189 t=55.5367 cmd=0x0f dp=0x12 len=1 payload=01
OUT frame=96191 t=55.5368 cmd=0x10 dp=0x12 len=1 payload=00
OUT frame=96191 t=55.5368 cmd=0x10 dp=0x12 len=1 payload=01
OUT frame=96191 t=55.5368 cmd=0x11 dp=0x12 len=1 payload=00
OUT frame=96191 t=55.5368 cmd=0x11 dp=0x12 len=1 payload=01
OUT frame=96191 t=55.5368 cmd=0x11 dp=0x12 len=1 payload=04
IN frame=96195 t=55.5501 cmd=0x87 dp=0x21 len=17 payload=01543233204d4344550000000000000000
IN frame=96197 t=55.5611 cmd=0x88 dp=0x21 len=17 payload=01415332332d5432332d4857204d434455
OUT frame=96199 t=55.5616 cmd=0x08 dp=0x12 len=1 payload=02
IN frame=96201 t=55.5722 cmd=0x8f dp=0x21 len=17 payload=01415332332d5432332d4d432054323300
IN frame=96203 t=55.5841 cmd=0x90 dp=0x21 len=17 payload=0030375945416c4f4477666255744a314b
IN frame=96205 t=55.5951 cmd=0x90 dp=0x21 len=17 payload=016e754739477169472b626d4856384934
IN frame=96207 t=55.6061 cmd=0x91 dp=0x21 len=17 payload=0000000000000000000000000000000000
IN frame=96211 t=55.6181 cmd=0x88 dp=0x21 len=17 payload=022d43552d563130000000000000000000
IN frame=96495 t=55.7591 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=97009 t=56.0151 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
OUT frame=97221 t=56.1195 cmd=0x11 dp=0x12 len=1 payload=00
OUT frame=97221 t=56.1195 cmd=0x11 dp=0x12 len=1 payload=01
OUT frame=97221 t=56.1195 cmd=0x11 dp=0x12 len=1 payload=04
OUT frame=97221 t=56.1195 cmd=0x06 dp=0x12 len=0 payload=
IN frame=97225 t=56.1331 cmd=0x91 dp=0x21 len=17 payload=0000000000000000000000000000000000
IN frame=97227 t=56.1441 cmd=0x91 dp=0x21 len=17 payload=0100000000000000000000000000000000
IN frame=97229 t=56.1551 cmd=0x91 dp=0x21 len=2 payload=0400
IN frame=97229 t=56.1551 cmd=0x86 dp=0x21 len=12 payload=421830208423b30547343434
IN frame=97693 t=56.3831 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
OUT frame=98251 t=56.6611 cmd=0x06 dp=0x12 len=0 payload=
IN frame=98259 t=56.6641 cmd=0x86 dp=0x21 len=12 payload=421830208423b30547343434
IN frame=98451 t=56.7591 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=98967 t=57.0161 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
OUT frame=99267 t=57.1649 cmd=0x06 dp=0x12 len=0 payload=
IN frame=99273 t=57.1671 cmd=0x86 dp=0x21 len=12 payload=421830208423b30547343434
IN frame=99707 t=57.3831 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
OUT frame=100279 t=57.6680 cmd=0x06 dp=0x12 len=0 payload=
IN frame=100287 t=57.6711 cmd=0x86 dp=0x21 len=12 payload=421830208423b30547343434
IN frame=100465 t=57.7591 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03

===== MOZA cycle 3: opening 3.0s (t=93.076..96.076) =====
IN frame=172632 t=93.0764 cmd=0xc3 dp=0x21 len=10 payload=7c000201ad0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=39 payload=7c000201ae00ff14000000ce47e50010000000000074b3000000000040fcb8000000004dc53eb2
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c000201ad0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=39 payload=7c000201ae00ff14000000ce47e50010000000000074b3000000000040fcb8000000004dc53eb2
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c000201ad0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=39 payload=7c000201ae00ff14000000ce47e50010000000000074b3000000000040fcb8000000004dc53eb2
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c000201ad0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=39 payload=7c000201ae00ff14000000ce47e50010000000000074b3000000000040fcb8000000004dc53eb2
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c000201ad0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=39 payload=7c000201ae00ff14000000ce47e50010000000000074b3000000000040fcb8000000004dc53eb2
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c000201ad0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c000201ad0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=39 payload=7c000201ae00ff14000000ce47e50010000000000074b3000000000040fcb8000000004dc53eb2
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c0003010b0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c000201ad0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=39 payload=7c000201ae00ff14000000ce47e50010000000000074b3000000000040fcb8000000004dc53eb2
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c000201ad0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=39 payload=7c000201ae00ff14000000ce47e50010000000000074b3000000000040fcb8000000004dc53eb2
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c000201ad0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=39 payload=7c000201ae00ff14000000ce47e50010000000000074b3000000000040fcb8000000004dc53eb2
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c0003010b0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c0003010b0000000000
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
IN frame=172682 t=93.0924 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=172999 t=93.2305 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
IN frame=173157 t=93.3084 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
IN frame=173449 t=93.4535 cmd=0xc3 dp=0x21 len=10 payload=7c23508007000400fc03
IN frame=173449 t=93.4535 cmd=0xc3 dp=0x21 len=6 payload=7c2350000800
OUT frame=173799 t=93.6281 cmd=0x06 dp=0x12 len=0 payload=
IN frame=173807 t=93.6305 cmd=0x86 dp=0x21 len=12 payload=421830208423b30547343434
OUT frame=173811 t=93.6315 cmd=0x04 dp=0x12 len=4 payload=00000000
OUT frame=173811 t=93.6315 cmd=0x05 dp=0x12 len=4 payload=00000000
OUT frame=173811 t=93.6315 cmd=0x02 dp=0x12 len=1 payload=00
OUT frame=173811 t=93.6315 cmd=0x09 dp=0x12 len=0 payload=
IN frame=173817 t=93.6455 cmd=0x84 dp=0x21 len=4 payload=01010801
IN frame=173817 t=93.6455 cmd=0x85 dp=0x21 len=4 payload=01021503
IN frame=173817 t=93.6455 cmd=0x82 dp=0x21 len=1 payload=02
IN frame=173819 t=93.6564 cmd=0x89 dp=0x21 len=2 payload=010b
OUT frame=173821 t=93.6573 cmd=0x07 dp=0x12 len=1 payload=01
OUT frame=173821 t=93.6573 cmd=0x08 dp=0x12 len=1 payload=01
OUT frame=173821 t=93.6573 cmd=0x0f dp=0x12 len=1 payload=01
OUT frame=173821 t=93.6573 cmd=0x10 dp=0x12 len=1 payload=00
OUT frame=173821 t=93.6573 cmd=0x10 dp=0x12 len=1 payload=01
OUT frame=173821 t=93.6573 cmd=0x11 dp=0x12 len=1 payload=00
OUT frame=173821 t=93.6573 cmd=0x11 dp=0x12 len=1 payload=01
OUT frame=173821 t=93.6573 cmd=0x11 dp=0x12 len=1 payload=04
IN frame=173827 t=93.6705 cmd=0x87 dp=0x21 len=17 payload=01543233204d4344550000000000000000
IN frame=173829 t=93.6815 cmd=0x88 dp=0x21 len=17 payload=01415332332d5432332d4857204d434455
OUT frame=173831 t=93.6819 cmd=0x08 dp=0x12 len=1 payload=02
IN frame=173833 t=93.6925 cmd=0x8f dp=0x21 len=17 payload=01415332332d5432332d4d432054323300
IN frame=173835 t=93.7045 cmd=0x90 dp=0x21 len=17 payload=0030375945416c4f4477666255744a314b
IN frame=173837 t=93.7155 cmd=0x90 dp=0x21 len=17 payload=016e754739477169472b626d4856384934
IN frame=173839 t=93.7265 cmd=0x88 dp=0x21 len=17 payload=022d43552d563130000000000000000000
IN frame=173981 t=93.7965 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
OUT frame=174845 t=94.2282 cmd=0x06 dp=0x12 len=0 payload=
OUT frame=174845 t=94.2282 cmd=0x11 dp=0x12 len=1 payload=00
OUT frame=174845 t=94.2282 cmd=0x11 dp=0x12 len=1 payload=01
OUT frame=174845 t=94.2282 cmd=0x11 dp=0x12 len=1 payload=04
IN frame=174851 t=94.2305 cmd=0x86 dp=0x21 len=12 payload=421830208423b30547343434
IN frame=174853 t=94.2415 cmd=0x91 dp=0x21 len=17 payload=0000000000000000000000000000000000
IN frame=174855 t=94.2525 cmd=0x91 dp=0x21 len=17 payload=0100000000000000000000000000000000
IN frame=174857 t=94.2635 cmd=0x91 dp=0x21 len=2 payload=0400
IN frame=174857 t=94.2635 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
IN frame=174949 t=94.3085 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
OUT frame=175867 t=94.7635 cmd=0x06 dp=0x12 len=0 payload=
IN frame=175875 t=94.7665 cmd=0x86 dp=0x21 len=12 payload=421830208423b30547343434
IN frame=175937 t=94.7965 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
IN frame=176809 t=95.2315 cmd=0xc3 dp=0x21 len=10 payload=7c235a8006000300fc03
OUT frame=176881 t=95.2671 cmd=0x06 dp=0x12 len=0 payload=
IN frame=176889 t=95.2695 cmd=0x86 dp=0x21 len=12 payload=421830208423b30547343434
IN frame=176969 t=95.3085 cmd=0xc3 dp=0x21 len=10 payload=7c233c8005000200fc03
OUT frame=177894 t=95.7703 cmd=0x06 dp=0x12 len=0 payload=
IN frame=177901 t=95.7725 cmd=0x86 dp=0x21 len=12 payload=421830208423b30547343434
IN frame=177949 t=95.7955 cmd=0xc3 dp=0x21 len=10 payload=7c23328004000100fc03
